"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","199","Deve retornar erro ao consultar raca inexistente","","Sat Sep 26 11:01:39 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedImagesTest","br.com.silas.agiapi.tests.dogs.BreedImagesTest","deveRetornarErroAoConsultarRacaInexistente"
"","307","deveRetornarImagensValidasParaRacasConhecidas (String) raca pug deve retornar imagens validas","","Sat Sep 26 11:01:39 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedImagesTest","br.com.silas.agiapi.tests.dogs.BreedImagesTest","deveRetornarImagensValidasParaRacasConhecidas"
"","3894","Deve retornar uma imagem aleatoria com contrato valido","","Sat Sep 26 11:01:35 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.RandomImageTest","br.com.silas.agiapi.tests.dogs.RandomImageTest","deveRetornarUmaImagemAleatoriaComContratoValido"
"","390","Deve listar imagens de uma raca existente","","Sat Sep 26 11:01:39 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedImagesTest","br.com.silas.agiapi.tests.dogs.BreedImagesTest","deveListarImagensDeUmaRacaExistente"
"","3578","Deve listar todas as racas com contrato valido","","Sat Sep 26 11:01:35 UTC 2026","passed","Sat Sep 26 11:01:38 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedListTest","br.com.silas.agiapi.tests.dogs.BreedListTest","deveListarTodasAsRacasComContratoValido"
"","238","Deve retornar racas em formato de mapa com listas de sub-racas","","Sat Sep 26 11:01:39 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedListTest","br.com.silas.agiapi.tests.dogs.BreedListTest","deveRetornarRacasEmFormatoDeMapaComListasDeSubRacas"
"","294","deveRetornarImagensValidasParaRacasConhecidas (String) raca retriever deve retornar imagens validas","","Sat Sep 26 11:01:39 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedImagesTest","br.com.silas.agiapi.tests.dogs.BreedImagesTest","deveRetornarImagensValidasParaRacasConhecidas"
"","3933","deveRetornarImagensValidasParaRacasConhecidas (String) raca hound deve retornar imagens validas","","Sat Sep 26 11:01:35 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedImagesTest","br.com.silas.agiapi.tests.dogs.BreedImagesTest","deveRetornarImagensValidasParaRacasConhecidas"
"","198","deveRetornarImagensValidasParaRacasConhecidas (String) raca akita deve retornar imagens validas","","Sat Sep 26 11:01:39 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedImagesTest","br.com.silas.agiapi.tests.dogs.BreedImagesTest","deveRetornarImagensValidasParaRacasConhecidas"
"","3303","Deve retornar racas conhecidas e sub-racas","","Sat Sep 26 11:01:35 UTC 2026","passed","Sat Sep 26 11:01:39 UTC 2026","","br.com.silas.agiapi.tests.dogs.BreedListTest","br.com.silas.agiapi.tests.dogs.BreedListTest","deveRetornarRacasConhecidasESubRacas"
